"","name","bud","donor","profit","grant1","sofin1"
"2720","Автономная некоммерческая организация """"""""Центр студенческих программ Российского Союза Молодежи""""""""",999,999,999,16384582,29761530
"2732","Образовательная автономная некоммерческая организация высшего образования """"""""Московская высшая школа социальных и экономических наук""""""""",999,999,999,6981844,0
"2814","Автономная некоммерческая образовательная организация высшего образования """"""""Европейский университет в Санкт-Петербурге""""""""",999,999,999,3902805.7,985098.9
"2893","Автономная некоммерческая организация """"""""Культурно-просветительский центр """"""""Люди""""""""",999,999,999,4744710,1185000
"2904","Автономная некоммерческая организация дополнительного профессионального образования «Институт социальных услуг и инноваций «ВЕКТОР»",999,999,999,6980640,2371340
"2936","Автономная некоммерческая организация дополнительного профессионального образования «Эколого-просветительский центр «Заповедники»",999,999,999,9717509.4,3626640.2
"3074","Автономная некоммерческая организация """"""""Фестиваль """"""""Золотая маска""""""""",999,999,999,5e+07,167576512.3
"3083","Автономная некоммерческая организация """"""""Центр развития социальных технологий""""""""",999,999,999,9608012.8,2692800
"3114","Автономная некоммерческая организация дополнительного профессионального образования """"""""Институт развития семейного устройства""""""""",999,999,999,3357892,8e+05
"3401","Автономная некоммерческая организация """"""""Центр развития социальных инноваций """"""""Технологии возможностей""""""""",999,999,999,8498680,9030186
"3419","Автономная некоммерческая организация """"""""Центр социально-трудовых прав""""""""",999,999,999,4991344,1679457
"3647","Автономная некоммерческая организация дополнительного профессионального образования """"""""Санкт-Петербургский институт раннего вмешательства""""""""",999,999,999,4379980,439330
"3658","Автономная некоммерческая организация """"""""Центр психологической помощи и психологической посткризисной реабилитации""""""""",999,999,999,3018808,604240
"3788","Автономная некоммерческая организация дополнительного профессионального образования """"""""Институт этнокультурного образования""""""""",999,999,999,4200000,3414667
"3981","Автономная некоммерческая организация """"""""Образовательная организация высшего образования """"""""Институт театрального искусства""""""""",999,999,999,6605018.8,1806913
"4091","Автономная некоммерческая организация содействия развитию общественных инициатив в социальной сфере """"""""Новые технологии развития""""""""",5662,25586,424,6353063,1069621
"4118","Автономная некоммерческая орагнизация """""""" Центр православных молодежных программ во имя святого Георгия Победоносца""""""""",999,999,999,6456600,2127500
"4408","Автономная некоммерческая организация социальной помощи """"""""Неугасимая Надежда""""""""",999,999,999,3493239.4,2624447.8
"4424","Автономная некоммерческая организация по развитию социальной активности и социальных коммуникаций """"""""Агентство социальных технологий и коммуникаций""""""""",999,999,999,5382720,3146150
"4425","Автономная некоммерческая организация по развитию социальной активности и социальных коммуникаций """"""""Агентство социальных технологий и коммуникаций""""""""",999,999,999,6580000,6283060
"4501","Автономная некоммерческая организация """"""""Агентство по связям с общественностью Республики Бурятия. г. Улан-Удэ""""""""",999,999,999,3380180,1553520
"4518","Автономная некоммерческая организация """"""""Спортивный клуб """"""""КПРФ""""""""",999,999,999,15330000,3458840
"4612","Автономная некоммерческая организация Развитие и становление информационной культуры """"""""Информационная культура""""""""",999,999,999,8138500,1328000
"4620","Автономная некоммерческая организация """"""""ЦЕНТР ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ - """"""""АЛЬФА-ДИАЛОГ""""""""",999,999,999,3383670,25000
"4627","Автономная некоммерческая организация Развитие и становление информационной культуры """"""""Информационная культура""""""""",999,999,999,8138500,1328000
"4633","Автономная некоммерческая организация """"""""Центр социальной помощи и адаптации для людей с диагнозом ДЦП и другими ограниченными возможностями здоровья""""""""Лыжи мечты"""""""" Сергея Белоголовцева",999,999,999,12990708.4,7466779
"4641","Автономная некоммерческая организация """"""""Центр развития социально-культурных инициатив и благотворительности """"""""Благосфера""""""""",999,999,999,11850336,8061712
"4707","Автономная некоммерческая организация Центр поддержки гражданских инициатив """"""""Конвентум""""""""",999,999,999,5696992,2016819
"4752","Автономная некоммерческая организация """"""""Центр решения социальных проблем и развития гражданского общества, благотворительности и добровольчества """"""""Актив будущего""""""""",999,999,999,7235308,2131697
"4772","Автономная некоммерческая организация """"""""Молодежный """"""""Экспериментальный Шекспировский Театр""""""""",999,999,999,5800000,3400000
"4839","Автономная некоммерческая организация дополнительного профессионального образования """"""""Центр психологического сопровождения образования """"""""ТОЧКА ПСИ""""""""",999,999,999,3499517.3,0
"4920","Автономная некоммерческая организация """"""""Центр развития и поддержки социально ориентированных некоммерческих организаций """"""""Девелопмент-групп""""""""",999,999,999,8630650.8,5181291.5
"5056","Автономная некоммерческая организация """"""""Лига школьного и дворового спорта""""""""",73735,32456,0,11485000,97517760
"5314","Автономная некоммерческая организация высшего профессионального образования """"""""Институт независимых исследований в области образования""""""""",999,999,999,7934087,0
"5642","Автономная некоммерческая Организация """"""""Издательство """"""""Политическая энциклопедия""""""""",999,999,999,19986960,0
"6616","Фонд """"""""Поддержки инициатив в области семьи и детства """"""""Национальный детский фонд""""""""",999,999,999,3502465,1501985
"6711","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ """"""""ФОНД ПОДДЕРЖКИ ДУХОВНО-ПРОСВЕТИТЕЛЬСКИХ И ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ АРХИСТРАТИГА БОЖИЯ МИХАИЛА""""""""",999,999,999,7442240,0
"6712","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ """"""""ФОНД ПОДДЕРЖКИ ДУХОВНО-ПРОСВЕТИТЕЛЬСКИХ И ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ АРХИСТРАТИГА БОЖИЯ МИХАИЛА""""""""",999,999,999,7442240,0
"6719","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ """"""""ФОНД ПОДДЕРЖКИ ДУХОВНО-ПРОСВЕТИТЕЛЬСКИХ И ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ АРХИСТРАТИГА БОЖИЯ МИХАИЛА""""""""",999,999,999,7442240,0
"6720","УНИТАРНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ """"""""ФОНД ПОДДЕРЖКИ ДУХОВНО-ПРОСВЕТИТЕЛЬСКИХ И ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ АРХИСТРАТИГА БОЖИЯ МИХАИЛА""""""""",999,999,999,7442240,0
"6726","Благотворительный фонд развития студенческого театра МГУ",999,999,999,4261657,0
"6876","Фонд поддержки лиц с нарушением развития и интеллекта """"""""Лучшие друзья""""""""",999,999,999,5598638.7,3522371.2
"6908","Благотворительный фонд развития филантропии «КАФ»",999,999,999,3549647.6,1578547.1
"6909","Благотворительный фонд развития филантропии «КАФ»",999,999,999,4533866.2,1792095.1
"6949","Фонд поддержки и развития культуры и спорта """"""""Новые лица""""""""",999,999,999,6243500,5267600
"6950","Фонд поддержки и развития культуры и спорта """"""""Новые лица""""""""",999,999,999,6243500,5267600
