"","name","bud","donor","profit","grant1","sofin1"
"2650","ФОНД ПОДДЕРЖКИ ПРИКЛАДНЫХ ЭКОЛОГИЧЕСКИХ РАЗРАБОТОК И ИССЛЕДОВАНИЙ """"""""ОЗЕРО БАЙКАЛ""""""""",0,17157,840,4658460,1864242.4
"2714","Культурный фонд Льва Лещенко",25156,1292,8162,6156023,1061004
"27171","Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»",13390,228197,776,9533875,4446821
"2739","Благотворительный фонд профилактики социального сиротства",17672,8628,0,5606837.9,3222338.3
"2756","Благотворительный фонд Елены Исинбаевой",0,16468,180,9445290,1154800
"2757","Благотворительный фонд Елены Исинбаевой",0,16468,180,9445290,1154800
"2761","Фонд социального развития и охраны здоровья """"""""ФОКУС-МЕДИА""""""""",11971,15,1036,9999377,2422749
"2762","Фонд социального развития и охраны здоровья """"""""ФОКУС-МЕДИА""""""""",11971,15,1036,3472739,987330
"2770","Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»",13390,228317,0,9533875,4446821
"2780","Благотворительный фонд профилактики социального сиротства",17671595,8628201,0,5606837.9,3222338.3
"2784","Благотворительный фонд """"""""Центр святителя Василия Великого""""""""",11633,2450,0,8761211,3896240
"2799","Некоммерческая организация """"""""Благотворительный Фонд """"""""АдВИТА""""""""",0,174323,0,3919448,392400
"2800","Некоммерческая организация """"""""Благотворительный Фонд """"""""АдВИТА""""""""",0,174323,0,8766786,397500
"2830","Благотворительный Фонд развития сообщества """"""""Гарант""""""""",0,20461,130,9996480,5542980
"2841","Благотворительный фонд святого праведного Иоанна Кронштадтского",10216,97,0,7054730,3059600
"2901","Благотворительный фонд социальной помощи и поддержки граждан """"""""Клуб добрых людей (КДЛ)""""""""",0,19739,0,3093564,848600
"2925","Благотворительный фонд """"""""Дорога к дому""""""""",7553,82990,0,3655484.5,1643764
"2933","Некоммерческая организация детский благотворительный фонд """"""""Живое дыхание""""""""",5590,1234,0,5098403.1,220750
"2934","Некоммерческая организация детский благотворительный фонд """"""""Живое дыхание""""""""",5590,569,0,5098403.1,220750
"2935","Некоммерческая организация детский благотворительный фонд """"""""Живое дыхание""""""""",5590989,1234431,0,5098403.1,220750
"3000","Автономная некоммерческая организация центр подготовки волонтеров """"""""Интеллектуальное волонтерство""""""""",999,999,999,3934586.5,1587944.5
"3010","Автономная некоммерческая организация """"""""Центр поиска пропавших людей""""""""",999,999,999,10255712.8,18581100
"3051","Автономная некоммерческая организация """"""""Агентство социальной информации""""""""",999,999,999,21335743,8815597.8
"3126","Автономная некоммерческая организация """"""""Лаборатория по робототехнике """"""""Инженеры будущего""""""""",999,999,999,3225446,366399
"3131","Автономная некоммерческая организация дополнительного профессионального образования «Институт социальных услуг и инноваций «ВЕКТОР»",999,999,999,8906372,4746292
"3169","Автономная некоммерческая организация помощи детям """"""""Звездный дождь""""""""",999,999,999,4599890.8,1343448
"3177","Автономная некоммерческая организация """"""""Центр реабилитации инвалидов детства """"""""НАШ СОЛНЕЧНЫЙ МИР""""""""",999,999,999,4629058.6,4765640
"3293","Автономная некоммерческая организация """"""""Центр первой помощи и добровольчества """"""""Вершина""""""""",999,999,999,3052103,1324450
"3366","Автономная некоммерческая организация """"""""Центр развития и поддержки музыкального творчества """"""""Академия популярной музыки Игоря Крутого""""""""",999,999,999,66097505,19932578.5
"3410","Автономная некоммерческая организация """"""""Центр социальной помощи и адаптации для людей с диагнозом ДЦП и другими ограниченными возможностями здоровья""""""""Лыжи мечты"""""""" Сергея Белоголовцева",999,999,999,16810370,4374670
"3543","Автономная некоммерческая организация """"""""Центр детской песни Солнышко""""""""",999,999,999,4702000,690500
"3596","Автономная некоммерческая организация дополнительного профессионального образования """"""""Институт этнокультурного образования""""""""",999,999,999,4544200,1955511.1
"3699","Автономная некоммерческая организация Информационный центр  радиовещения, искусства и культуры """"""""Вера, надежда, любовь""""""""",999,999,999,9034698,9194814
"3799","Автономная некоммерческая организация Центр поддержки гражданских инициатив """"""""Конвентум""""""""",6420,105,0,8206365,2160449
"3809","Автономная некоммерческая организация """"""""Научно-производственная лаборатория """"""""Сенсорные технологии для слепоглухих""""""""",0,31952,30492,5950968,2627756
"3815","Автономная некоммерческая организация """"""""Научно-производственная лаборатория """"""""Сенсорные технологии для слепоглухих""""""""",999,999,999,5950968,2627756
"4208","Автономная некоммерческая организация """"""""Детская следж-хоккейная лига""""""""",999,999,999,9304723.5,4452145.3
"4229","Автономная некоммерческая организация """"""""Центр патриотического развития """"""""Русич""""""""",999,999,999,4976260,3610512
"4235","Автономная некоммерческая организация реализации социально значимых инициатив """"""""Мегапроект""""""""",999,999,999,5893326.3,1913000
"4236","Автономная некоммерческая организация реализации социально значимых инициатив """"""""Мегапроект""""""""",999,999,999,4496926.3,2044100
"4268","Автономная некоммерческая организация """"""""Творческое объединение """"""""ПензаХобби""""""""",999,999,999,6269474.5,3270537
"4315","Автономная некоммерческая организация высшего образования """"""""Российский новый университет""""""""",999,999,999,9216346.4,2337700
"4476","Приморская автономная некоммерческая организация """"""""Информационно-методический Центр """"""""Тихоокеанский Проект""""""""",999,999,999,4467932,1653910
"4487","Автономная некоммерческая организация """"""""Центр развития и поддержки социально ориентированных некоммерческих организаций """"""""Девелопмент-групп""""""""",999,999,999,5866892,2514908
"4650","Автономная некоммерческая Организация """"""""Издательство """"""""Политическая энциклопедия""""""""",23726,12398,8712,5316316.9,1062551.7
"4731","Автономная некоммерческая организация дополнительного профессионального образования """"""""Открытое образование""""""""",999,999,999,4769815,9898405
"5053","Автономная некоммерческая организация """"""""Центр развития социально-культурных инициатив и благотворительности """"""""Благосфера""""""""",999,999,999,9422226,5986582
"5122","Автономная некоммерческая организация """"""""Электронное образование для наноиндустрии""""""""",999,999,999,6722222.5,6968728.3
"5210","Автономная некоммерческая организация «Лаборатория социальных коммуникаций «Третий сектор»",999,999,999,4974470,16657280
"5316","Автономная некоммерческая организация """"""""Лига школьного и дворового спорта""""""""",999,999,999,17756500,331345880
"5501","Автономная некоммерческая организация содействия развитию международных культурных взаимоотношений """"""""Шотландский культурный центр """"""""Каледонский Клуб""""""""",999,999,999,9023970,8662500
"5812","Некоммерческая организация """"""""Иркутский Молодёжный Фонд правозащитников """"""""Ювента""""""""",999,999,999,3979172.1,1715438.1
"5857","Некоммерческая организация """"""""Международный благотворительный фонд """"""""Кронштадтский Морской собор во имя Святителя Николая Чудотворца""""""""",999,999,999,9022770.7,4572464
"5875","фонд развития культуры и защиты интеллектуальной собственности",999,999,999,8111373.3,1889000
"5885","Благотворительный фонд """"""""Просто люди""""""""",999,999,999,3294983,581467
"5888","Фонд Конкурса юных чтецов """"""""Живая классика""""""""",999,999,999,8590040,14860850.5
"5890","Благотворительный фонд поддержки семьи, защиты детства, материнства и отцовства """"""""ОМК - Участие""""""""",999,999,999,5976373.7,2099449.3
"5927","Культурный фонд Льва Лещенко",999,999,999,6156023,1061004
"5948","Фонд поддержки социальных и культурных проектов """"""""Альма Матер""""""""",999,999,999,4995718.2,4320067.7
"5972","Фонд поддержки кино, радио, телевидения, мультимедиа и анимация Николая Расторгуева",999,999,999,9927002,4579232
"6065","Благотворительный фонд развития паллиативной помощи """"""""Детский паллиатив""""""""",999,999,999,5594506.9,3718337.5
"6101","Благотворительный фонд поддержки музыкального искусства """"""""Фонд Елены Образцовой""""""""",999,999,999,40720724.8,20213020
"6108","Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»",999,999,999,9533875,4446821
"6109","Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»",999,999,999,9533875,4446821
"6201","Благотворительный фонд """"""""Шаг вместе""""""""",999,999,999,5472081.2,1254361.4
"6223","Благотворительный фонд """"""""Дети наши""""""""",999,999,999,3540694.2,4176928.5
"6300","Фонд по борьбе с инсультом «ОРБИ»",999,999,999,6619590,2788600
"6356","Благотворительный фонд помощи недоношенным детям """"""""Право на чудо""""""""",6652,4967,358,4025420.6,1810901.2
"6397","Благотворительный фонд """"""""Дети ДЦП""""""""",999,999,999,4785545,4598863
"6403","Благотворительный фонд помощи тяжело больным детям, сиротам и инвалидам """"""""РУСФОНД""""""""",999,999,999,8507821,105495159.9
"6448","Фонд поддержки научных, образовательных и культурных инициатив """"""""Траектория""""""""",999,999,999,5105614,1003545
"6513","Фонд «Поддержка проектов в области образования»",999,999,999,3824003,2787864
"6533","Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»",999,999,999,9533875,4446821
"6592","Некоммерческая организация Благотворительный фонд наследия Менделеева",999,999,999,9821688,27284659
"6644","Благотворительный фонд содействия межцерковной христианской диаконии",999,999,999,3938616,2300864
"6646","Некоммерческий Фонд поддержки патриотических, социальных, экономических и культурных программ """"""""Патриотическое движение """"""""Гринландия""""""""",999,999,999,10510061,5515976
"6655","Фонд поддержки и развития культуры и спорта """"""""Новые лица""""""""",7245,0,2767,7245500,4291600
"6694","Благотворительный фонд """"""""ЯРКАЯ ЖИЗНЬ""""""""",999,999,999,3554722,1318538
"6767","Благотворительный фонд содействия социальной и просветительской деятельности имени Святителя Луки Войно-Ясенецкого",999,999,999,9808370,3282689
"6844","Некоммерческий благотворительный фонд """"""""Дети и Родители против рака""""""""",999,999,999,3266948,2835236
"6849","Благотворительный фонд помощи больным несовершенным остеогенезом и другой костной патологией """"""""Хрупкие люди""""""""",999,999,999,5496108,8780990
"6989","Благотворительный фонд """"""""Наследие тысячелетий""""""""",999,999,999,3333163,527900
"7035","Благотворительный фонд помощи детям-отказникам и детям-сиротам """"""""БЮРО ДОБРЫХ ДЕЛ""""""""",999,999,999,4260960.2,778036.8
"7217","Благотворительный фонд содействия реализации программ Лиги здоровья нации",999,999,999,9841600,1180000
"7380","Международный благотворительный фонд поддержки математики имени Леонарда Эйлера «ФОНД ЭЙЛЕРА»",999,999,999,8892456.6,1684163.4
"7407","Международный благотворительный фонд имени Д.С. Лихачева",999,999,999,7129180,2402000
"7425","Фонд поддержки и развития социокультурных проектов Сергея Безрукова",999,999,999,17826840,35375252
"7744","Благотворительный фонд """"""""Оберег""""""""",999,999,999,3907428,1233000
